Site	  x	  y	  z
Fp1	-2,7	 8,6	 3,6
Fp2	 2,7	 8,6	 3,6
F3	-4,7	 6,2	 8,0
F4	 4,7	 6,2	 8,0
C3	-6,1	 0,0	 9,7
C4	 6,1	 0,0	 9,7
P3	-4,7	-6,2	 8,0
P4	 4,7	-6,2	 8,0
O1	-2,7	-8,6	 3,6
O2	 2,7	-8,6	 3,6
F7	-6,7	 5,2	 3,6
F8	 6,7	 5,2	 3,6
T7	-7,8	 0,0	 3,6
T8	 7,8	 0,0	 3,6
P7	-6,7	-5,2	 3,6
P8	 6,7	-5,2	 3,6
Fz	 0,0	 6,7	 9,5
Cz	 0,0	 0,0	12,0
Pz	 0,0	-6,7	 9,5
F1	-2,4	 6,5	 9,0
F2	 2,4	 6,5	 9,0
FC1	-3,0	 3,3	11,0
FC2	 3,0	 3,3	11,0
C1	-3,4	 0,0	11,6
C2	 3,4	 0,0	11,6
CP1	-3,0	-3,2	11,0
CP2	 3,0	-3,2	11,0
P1	-2,4	-6,5	 9,0
P2	 2,4	-6,5	 9,0
AF3	-3,4	 7,0	 6,4
AF4	 3,4	 7,0	 6,4
FC3	-5,5	 3,2	 9,4
FC4	 5,5	 3,2	 9,4
CP3	-5,3	-3,2	 9,4
CP4	 5,3	-3,2	 9,4
PO3	-3,4	-7,9	 6,4
PO4	 3,4	-7,9	 6,4
F5	-5,8	 5,9	 5,8
F6	 5,8	 5,9	 5,8
FC5	-5,5	 3,2	 6,6
FC6	 5,5	 3,2	 6,6
C5	-7,4	 0,0	 6,7
C6	 7,4	 0,0	 6,7
CP5	-7,2	-2,7	 6,6
CP6	 7,2	-2,7	 6,6
P5	-5,8	-5,9	 5,8
P6	 5,8	-5,9	 5,8
AF7	-5,0	 7,2	 3,6
AF8	 5,0	 7,2	 3,6
FT7	-7,6	 2,8	 3,6
FT8	 7,6	 2,8	 3,6
TP7	-7,6	-2,8	 3,6
TP8	 7,6	-2,8	 3,6
PO7	-5,0	-7,2	 3,6
PO8	 5,0	-7,2	 3,6
F9	-6,0	 4,8	 0,0
F10	 6,0	 4,8	 0,0
FT9	-6,9	 2,5	 0,0
FT10	 6,9	 2,5	 0,0
TP9	-7,3	-2,5	 0,0
TP10	 7,3	-2,5	 0,0
P9	-6,3	-4,8	 0,0
P10	 6,3	-4,8	 0,0
PO9	-4,7	-6,7	 0,0
PO10	 4,7	-6,7	 0,0
O9	-2,5	-8,0	 0,0
O10	 2,5	-8,0	 0,0
Fpz	 0,0	 9,0	 3,6
AFz	 0,0	 8,3	 6,9
FCz	 0,0	 3,4	11,3
CPz	 0,0	-3,4	11,3
POz	 0,0	-8,3	 6,9
Oz	 0,0	-9,0	 3,6
Iz	 0,0	-8,6	 0,0
